,temp_media,temp_5,temp_95
148,23.869564,23.442032,24.208372
149,23.913635,23.452286,24.31675
150,23.935974,23.415092,24.380972
151,23.994713,23.429148,24.529877
152,24.031067,23.45527,24.580109
153,24.060717,23.507784,24.614279
154,24.101816,23.580055,24.650017
155,24.142487,23.633343,24.590677
156,24.154816,23.588467,24.652414
157,24.148829,23.595072,24.574095
158,24.126097,23.577871,24.48392
159,24.09879,23.576254,24.485256
160,24.022635,23.543158,24.428488
161,23.972391,23.528683,24.356201
162,23.961065,23.499004,24.281723
163,23.93909,23.501322,24.229086
164,23.917753,23.49292,24.204536
165,23.934893,23.498842,24.24101
166,23.967718,23.526346,24.287754
167,24.001894,23.535265,24.322905
168,24.031616,23.580318,24.349134
169,24.056162,23.642958,24.356438
170,24.118483,23.720905,24.39754
